Bn;Un;Ln;Cn;Dn;Dn-Cn;n;k
35;374;5;7083;7967;884;1000;0;
40;358;5;7454;8342;888;1000;1;
22;365;6;7288;10024;2736;1000;2;
51;376;6;6852;10914;4062;1000;3;
17;378;5;7883;8400;517;1000;4;
48;350;5;11397;12939;1542;1000;5;
74;376;5;8064;10246;2182;1000;6;
58;359;4;7179;11603;4424;1000;7;
36;379;5;7570;7775;205;1000;8;
53;347;5;6973;12216;5243;1000;9;
42;369;6;8662;9991;1329;1000;10;
85;364;5;7852;8224;372;1000;11;
31;370;7;8759;10165;1406;1000;12;
79;370;6;7089;8982;1893;1000;13;
55;374;7;6024;10064;4040;1000;14;
16;363;5;10055;10473;418;1000;15;
41;359;5;6850;11897;5047;1000;16;
34;343;5;5937;9868;3931;1000;17;
84;372;6;7179;9198;2019;1000;18;
49;362;7;6728;11054;4326;1000;19;
28;365;5;6620;8888;2268;1000;20;
42;368;6;6108;11121;5013;1000;21;
81;374;6;6096;8570;2474;1000;22;
14;384;5;8664;8729;65;1000;23;
36;361;6;6780;10721;3941;1000;24;
23;372;5;8698;9731;1033;1000;25;
27;361;5;7170;10182;3012;1000;26;
44;371;5;6764;10061;3297;1000;27;
48;349;6;9099;13184;4085;1000;28;
54;364;5;5847;8838;2991;1000;29;
19;366;5;6852;9496;2644;1000;30;
37;386;6;5846;8296;2450;1000;31;
30;356;5;6773;9369;2596;1000;32;
29;375;5;9992;10301;309;1000;33;
32;354;5;6296;9895;3599;1000;34;
51;367;7;5894;8357;2463;1000;35;
43;373;5;6062;8410;2348;1000;36;
31;356;5;7413;11139;3726;1000;37;
55;350;5;6467;10424;3957;1000;38;
46;362;5;11137;12394;1257;1000;39;
49;368;5;6198;8023;1825;1000;40;
61;365;6;6794;9151;2357;1000;41;
41;371;5;6628;7970;1342;1000;42;
45;373;6;6938;9570;2632;1000;43;
59;362;5;6225;10466;4241;1000;44;
27;376;5;8222;8574;352;1000;45;
69;373;5;10104;10188;84;1000;46;
70;368;5;8309;9522;1213;1000;47;
16;364;5;7636;10012;2376;1000;48;
9;366;6;6559;10387;3828;1000;49;
82;753;6;18581;20294;1713;2000;0;
45;734;5;14290;21480;7190;2000;1;
107;741;5;15539;26305;10766;2000;2;
12;748;5;14767;23322;8555;2000;3;
80;745;6;15391;17690;2299;2000;4;
96;725;5;13056;24746;11690;2000;5;
48;745;6;19328;27320;7992;2000;6;
56;735;6;14486;17743;3257;2000;7;
44;723;7;13453;18166;4713;2000;8;
4;725;6;17056;22955;5899;2000;9;
53;735;5;15625;19113;3488;2000;10;
55;735;6;15241;19774;4533;2000;11;
93;724;6;17947;21779;3832;2000;12;
32;739;6;15645;17514;1869;2000;13;
38;738;5;15717;22077;6360;2000;14;
51;733;6;21172;23353;2181;2000;15;
147;728;6;16620;30088;13468;2000;16;
51;745;7;13275;19073;5798;2000;17;
28;755;6;16430;20383;3953;2000;18;
88;737;6;15842;20875;5033;2000;19;
73;732;5;16151;18238;2087;2000;20;
58;724;5;13492;18808;5316;2000;21;
85;745;7;15327;21097;5770;2000;22;
65;727;6;15841;19455;3614;2000;23;
68;741;7;13448;19131;5683;2000;24;
77;752;7;18297;23135;4838;2000;25;
45;751;6;17091;23740;6649;2000;26;
27;712;6;18946;22115;3169;2000;27;
35;728;6;15868;21525;5657;2000;28;
72;729;5;17101;18549;1448;2000;29;
68;722;5;14904;22977;8073;2000;30;
77;738;7;16737;23705;6968;2000;31;
31;719;6;18533;20709;2176;2000;32;
75;703;5;17951;20004;2053;2000;33;
11;730;5;18606;21737;3131;2000;34;
89;719;6;14427;18636;4209;2000;35;
113;740;6;16210;23894;7684;2000;36;
57;723;5;17221;24502;7281;2000;37;
100;747;7;13238;19599;6361;2000;38;
30;745;6;20080;20698;618;2000;39;
81;728;6;14407;18663;4256;2000;40;
82;753;6;17121;20956;3835;2000;41;
86;747;7;14698;19231;4533;2000;42;
50;729;5;17738;20716;2978;2000;43;
49;720;5;13451;21663;8212;2000;44;
60;722;6;14681;19912;5231;2000;45;
24;725;8;12542;15665;3123;2000;46;
36;741;5;13887;16489;2602;2000;47;
75;716;5;12858;16744;3886;2000;48;
28;720;6;13329;20305;6976;2000;49;
65;1089;6;21482;29123;7641;3000;0;
118;1076;6;28598;30570;1972;3000;1;
82;1098;6;25438;25937;499;3000;2;
129;1087;5;26164;40035;13871;3000;3;
20;1088;6;21924;38595;16671;3000;4;
52;1093;5;26786;33190;6404;3000;5;
62;1125;5;32574;37538;4964;3000;6;
38;1083;6;27444;35835;8391;3000;7;
126;1068;6;25878;32251;6373;3000;8;
61;1095;6;22753;36783;14030;3000;9;
147;1137;6;23511;31984;8473;3000;10;
74;1112;7;30008;36702;6694;3000;11;
93;1116;6;20945;32557;11612;3000;12;
34;1089;8;27775;33245;5470;3000;13;
54;1110;5;24797;37071;12274;3000;14;
31;1073;7;24461;32611;8150;3000;15;
25;1098;6;21618;29227;7609;3000;16;
89;1094;8;27134;35727;8593;3000;17;
15;1099;6;27126;41146;14020;3000;18;
40;1122;7;28911;30036;1125;3000;19;
29;1096;5;22920;31182;8262;3000;20;
175;1114;7;23513;27576;4063;3000;21;
57;1103;6;29542;34073;4531;3000;22;
40;1094;6;23357;33254;9897;3000;23;
131;1104;8;27613;35228;7615;3000;24;
57;1114;5;26061;32935;6874;3000;25;
20;1108;5;27081;33361;6280;3000;26;
146;1079;5;24617;30097;5480;3000;27;
80;1105;5;25144;30608;5464;3000;28;
46;1103;6;25552;29953;4401;3000;29;
54;1098;6;26277;30436;4159;3000;30;
52;1094;6;31833;36172;4339;3000;31;
85;1088;6;22466;29374;6908;3000;32;
127;1111;7;33618;36070;2452;3000;33;
107;1099;7;26604;37762;11158;3000;34;
37;1092;7;21742;40958;19216;3000;35;
59;1117;6;23200;30720;7520;3000;36;
88;1113;5;27378;29694;2316;3000;37;
121;1090;7;26785;37735;10950;3000;38;
79;1116;5;25444;32955;7511;3000;39;
94;1110;6;23582;30830;7248;3000;40;
20;1110;6;30887;36775;5888;3000;41;
107;1108;6;23560;28727;5167;3000;42;
101;1108;6;27784;34880;7096;3000;43;
124;1140;7;25661;38138;12477;3000;44;
63;1118;6;23372;28538;5166;3000;45;
92;1110;7;23663;33032;9369;3000;46;
78;1124;6;21068;30737;9669;3000;47;
18;1131;6;27131;38175;11044;3000;48;
84;1071;6;26104;27271;1167;3000;49;
70;1475;6;33875;38432;4557;4000;0;
64;1433;6;35248;44947;9699;4000;1;
74;1477;6;29577;43203;13626;4000;2;
127;1483;7;40915;45674;4759;4000;3;
74;1452;7;36692;40889;4197;4000;4;
77;1479;6;37511;43807;6296;4000;5;
85;1462;6;34824;40551;5727;4000;6;
127;1471;6;28821;41132;12311;4000;7;
92;1461;6;31655;43495;11840;4000;8;
87;1514;6;32405;36905;4500;4000;9;
25;1474;6;32362;48179;15817;4000;10;
78;1469;7;37032;56911;19879;4000;11;
33;1465;6;48039;53005;4966;4000;12;
68;1464;6;45539;47459;1920;4000;13;
178;1445;6;39552;42311;2759;4000;14;
62;1473;7;30943;41376;10433;4000;15;
93;1500;6;35499;44570;9071;4000;16;
58;1440;8;33056;41256;8200;4000;17;
28;1509;6;37378;47660;10282;4000;18;
66;1458;8;36330;43700;7370;4000;19;
43;1478;6;33652;45593;11941;4000;20;
57;1462;8;43287;43993;706;4000;21;
61;1466;5;38445;45588;7143;4000;22;
21;1457;9;46583;48503;1920;4000;23;
53;1465;7;32172;46545;14373;4000;24;
48;1500;6;34988;55620;20632;4000;25;
132;1453;6;36770;42549;5779;4000;26;
89;1466;6;31916;48768;16852;4000;27;
32;1470;7;31462;45940;14478;4000;28;
107;1484;5;38465;48231;9766;4000;29;
73;1469;6;33940;40863;6923;4000;30;
112;1464;6;27880;46895;19015;4000;31;
119;1494;6;39729;50929;11200;4000;32;
19;1438;7;28204;46292;18088;4000;33;
23;1479;6;35341;41285;5944;4000;34;
45;1443;6;40126;43662;3536;4000;35;
143;1473;7;30147;48372;18225;4000;36;
58;1467;7;34533;45227;10694;4000;37;
33;1460;7;44310;52004;7694;4000;38;
89;1477;6;30221;37185;6964;4000;39;
78;1470;6;29527;45687;16160;4000;40;
55;1457;6;49555;53468;3913;4000;41;
39;1496;6;33999;39958;5959;4000;42;
83;1464;8;32086;40480;8394;4000;43;
60;1434;7;41098;41176;78;4000;44;
59;1457;6;37385;47053;9668;4000;45;
78;1482;6;36117;44006;7889;4000;46;
150;1466;6;38275;44934;6659;4000;47;
79;1483;7;33199;42331;9132;4000;48;
18;1442;5;31645;42330;10685;4000;49;
123;1886;8;46829;52458;5629;5000;0;
170;1865;7;44327;64148;19821;5000;1;
97;1878;7;40116;54174;14058;5000;2;
82;1813;7;40693;55270;14577;5000;3;
171;1819;6;40963;53744;12781;5000;4;
102;1857;7;41801;48656;6855;5000;5;
